"Email","First Name","Last Name","Company Name","Phone Number","Address","Custom 1","Custom 2","Custom 3"
"vera@wipmdc.com.","","","","202-362-4642","3539 Porter St NW","http://wipmdc.com/","Our property management services maximize owners' income by obtaining the highest rent possible, minimizing vacancies and efficiently managing expenses.","Welcome to Washington Investment Property Management . We are a full-service property management and leasing firm specializing in single and multi-unit residential properties in Washington, DC. We will care for your property as if it were our own."
"bernie@growthwheel.com","","","","+1 646 918 1809","240 Kent Ave floor 2","http://www.growthwheel.com/","GrowthWheel® is a visual toolbox and cloud-based platform used by business advisors to help client companies make decisions and take action with a 360° view on the company.","GrowthWheel® is a visual toolbox and cloud-based platform used by business advisors to help client companies make decisions and take action with a 360° view on the company."
"csvc@wmata.com","","","","202-962-1195","4000 Garden City Dr","https://www.wmata.com/rider-guide/lost-found/","SERVICEDELAYSSERVICEDELAYSXblue Rail LineExpect residual delays to New Carrollton and Downtown Largo following an earlier medical emergency at Capitol South.green Rail Line● Express shuttle bus service is available between Branch Avenue and Southern Avenue through August 31st.● Branch Avenue, Suitland and Naylor Road stations are closed through August 31st due to summer construction. Free shuttle buses are available between Branch Avenue and Southern Avenue. Info:https://www.wmata.com/majorconstructionorange Rail LineExpect residual delays to New Carrollton and Downtown Largo following an earlier medical emergency at Capitol South.silver Rail LineExpect residual delays to New Carrollton and Downtown Largo following an earlier medical emergency at Capitol South.A12A12 Service Alert: Expect delays in both directions on Route A12 because of operator availability. Check your bus location by visitinghttps://metropulse.wmata.com/busA40A40 Service Alert: Expect eastbound delays on Route A40 at Columbia Pike & S Dinwiddie St because of an incident. Check your bus location by visitinghttps://metropulse.wmata.com/busA58A58 Service Alert: Expect delays in both directions on Route A58 because of operator availability. Check your bus location by visitinghttps://metropulse.wmata.com/busC23C23 Service Alert: Expect delays in both directions on Route C23 because of operator availability. Check your bus location by visitinghttps://metropulse.wmata.com/busC27C27 Service Alert: Expect eastbound delays on Route C27 at DC Village because of a vehicle mechanical problem. Check your bus location by visitinghttps://metropulse.wmata.com/busC31C31 Service Alert: Expect eastbound delays on Route C31 at Pennsylvania Ave SE & Minnesota Ave because of an incident. Check your bus location by visitinghttps://metropulse.wmata.com/busC51C51 Service Alert: Expect southbound delays on Route C51 at New Jersey Ave NW & Q St because of an incident. Check your bus location by visitinghttps://metropulse.wmata.com/busC53C53 Service Alert: Expect delays in both directions on Route C53 because of operator availability. Check your bus location by visitinghttps://metropulse.wmata.com/busC75C75 Service Alert: Expect southbound delays on Route C75 at Georgia Av NW & Kansas Ave because of a route blockage. Check your bus location by visitinghttps://metropulse.wmata.com/busD20D20 Service Alert: Expect delays in both directions on Route D20 because of operator availability. Check your bus location by visitinghttps://metropulse.wmata.com/busD4XD4X Service Alert: Expect delays in both directions on Route D4X because of operator availability. Check your bus location by visitinghttps://metropulse.wmata.com/busD50D50 Service Alert: Expect delays in both directions on Route D50 because of operator availability. Check your bus location by visitinghttps://metropulse.wmata.com/busF20F20 Service Alert: Expect delays in both directions on Route F20 because of operator availability. Check your bus location by visitinghttps://metropulse.wmata.com/busM20M20 Service Alert: Expect delays in both directions on Route M20 because of operator availability. Check your bus location by visitinghttps://metropulse.wmata.com/busM42M42 Service Alert: Expect delays in both directions on Route M42 because of operator availability. Check your bus location by visitinghttps://metropulse.wmata.com/busP16P16 Service Alert: Expect northbound delays on Route P16 because of an incident. Check your bus location by visitinghttps://metropulse.wmata.com/bus•••View all Status & AlertsMetroPulseSign up for MetroAlertsLast Updated: 11:42 AMTRIP PLANNERTRIP PLANNERFROM(has autocomplete)TO(has autocomplete)NEXT BUSXNEXT BUSSearch for transportation near youNearby Bus LinesAll Bus LinesNEXT TRAINXNEXT TRAINSearch for transportation near youNearby StationsAll StationsAddison Road-Seat PleasantAnacostiaArchives-Navy Memorial-Penn QuarterArlington CemeteryAshburnBallston-MUBenning RoadBethesdaBraddock RoadBranch AveBrookland-CUACapitol HeightsCapitol SouthCheverlyClarendonCleveland ParkCollege Park-U of MdColumbia HeightsCongress HeightsCourt HouseCrystal CityDeanwoodDowntown LargoDunn Loring-MerrifieldDupont CircleEast Falls ChurchEastern MarketEisenhower AvenueFarragut NorthFarragut WestFederal Center SWFederal TriangleFoggy Bottom-GWUForest GlenFort TottenFranconia-SpringfieldFriendship HeightsGallery Pl-ChinatownGeorgia Ave-PetworthGlenmontGreenbeltGreensboroGrosvenor-StrathmoreHerndonHuntingtonHyattsville CrossingInnovation CenterJudiciary SquareKing St-Old TownL'Enfant PlazaLandoverLoudoun GatewayMcLeanMcPherson SquareMedical CenterMetro CenterMinnesota AveMorgan BoulevardMt Vernon Sq 7th St-Convention CenterNavy Yard-BallparkNaylor RoadNew CarrolltonNoMa-Gallaudet UNorth BethesdaPentagonPentagon CityPotomac AvePotomac YardReston Town CenterRhode Island Ave-BrentwoodRockvilleRonald Reagan Washington National AirportRosslynShady GroveShaw-Howard USilver SpringSilver Spring Transit CenterSmithsonianSouthern AvenueSpring HillStadium-ArmorySuitlandTakomaTenleytown-AUTwinbrookTysonsU Street/African-Amer Civil War Memorial/CardozoUnion StationVan Dorn StreetVan Ness-UDCVienna/Fairfax-GMUVirginia Square-GMUWashington Dulles International AirportWaterfrontWest Falls ChurchWest HyattsvilleWheatonWiehle-Reston EastWoodley Park-Zoo/Adams MorganLineCarsDestinationMinutesLineCarsDestinationMinutesLineCarsDestinationMinutesLineCarsDestinationMinutesLast Data Update:EDT|Data will refresh every 20 seconds.","Metro news and service information for the Washington, DC, Maryland, and Virginia region."
"Sales@itascaSoftware.com","","","","+1 (612) 371-4711","111 3rd Ave S","http://www.itascacg.com/","Welcome to Itasca Consulting Group, your trusted partner in geomechanics, hydrogeology, and engineering solutions. Explore our expertise, innovative…","itasca consulting group, geomechanics solutions, hydrogeology expertise, engineering services, software, engineering software, imat, pfc, flac3d, mining, energy, materials, civil engineering, itasca, employee-owned, contact itasca, industry expertise"
"hellostudent@serveuniversity.org","","","","404-500-8822","585 McWilliams Rd SE","https://www.serveuniversity.org/","For mission-based organizations and entrepreneurs seeking grant funding, SERVE University provides comprehensive grant writing and training services customized for each organization and accomplished with acumen, analysis, and accuracy.","For mission-based organizations and entrepreneurs seeking grant funding, SERVE University provides comprehensive grant writing and training services customized for each organization and accomplished with acumen, analysis, and accuracy."
"info@ulgatl.org","","","","(404) 659-1150","230 Peachtree St #2600","https://ulgatl.org/","Empowering Families, Changing Lives The Urban League of Greater Atlanta is committed to ensuring equal opportunity and economic justice for rural and urban communities throughout the state. We advance through exceptional programs delivered in partnership with community, business, public, and private sector leaders, and individual contributors. Learn how the Urban League helps clients reach their","Empowering Families, Changing Lives The Urban League of Greater Atlanta is committed to ensuring equal opportunity and economic justice for rural and urban communities throughout the state. We advance through exceptional programs delivered in partnership with community, business, public, and private sector leaders, and individual contributors. Learn how the Urban League helps clients reach their"
"scs@seattlecorporatesearch.com","","","","206-814-9939","2101 4th Ave Suite 1975","http://www.seattlecorporatesearch.com/","At SCS (Seattle Corporate Search) we build powerhouse teams for startups and enterprise companies nationwide. Our custom hiring solutions deliver real results.","At SCS (Seattle Corporate Search) we build powerhouse teams for startups and enterprise companies nationwide. Our custom hiring solutions deliver real results."
"info@deyoung-consulting.com","","","","218-215-8065","TriTech Center, 331 2nd Ave S #441","http://www.deyoungconsultingservices.com/","The expert team at DeYoung Consulting works collaboratively with their clients and is dedicated to their strategic needs, building trust and community as a vital part of the process.","The expert team at DeYoung Consulting works collaboratively with their clients and is dedicated to their strategic needs, building trust and community as a vital part of the process."
"hello@h10capital.com","","","","(206) 518-5000","2921 Eastlake Ave E","http://www.h10capital.com/","Our experts ensure compliance, debugging, and data analysis to meet industry standards and exceed quality expectations.","We offer software solutions from device testing, to embedded software development, and even web and mobile applications tailored to your needs."
"info@smxusa.com","","","","(305) 463-7191","1000 Brickell Ave ste 900","http://www.smxusa.com/","When it comes to IT solutions & engineering staffing, we give you the world. Get local expertise and international reach with a staffing partner who breaks down talent barriers to deliver high-caliber resources + highly targeted services. IT Staffing Specialized staff augmentation with a technical focus - SMX Services & Consulting USA","When it comes to IT solutions & engineering staffing, we give you the world. Get local expertise and international reach with a staffing partner who breaks down talent barriers to deliver"
